obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	icon_dates	icon_ws_table_h	icon_ws_table	icon_station_names
641	2025-10-11	12	1.5	KERKYRA (AIRPORT)	2025-10-11	12	1.49515	KERKYRA (AIRPORT)
641	2025-10-12	12	1.5	KERKYRA (AIRPORT)	2025-10-12	12	1.6864	KERKYRA (AIRPORT)
641	2025-10-13	12	0	KERKYRA (AIRPORT)	2025-10-13	12	1.92821	KERKYRA (AIRPORT)
641	2025-10-14	12	2.1	KERKYRA (AIRPORT)	2025-10-14	12	2.53633	KERKYRA (AIRPORT)
641	2025-10-15	12	2.1	KERKYRA (AIRPORT)	2025-10-15	12	2.77339	KERKYRA (AIRPORT)
641	2025-10-16	12	5.1	KERKYRA (AIRPORT)	2025-10-16	12	5.97508	KERKYRA (AIRPORT)
641	2025-10-17	12	5.1	KERKYRA (AIRPORT)	2025-10-17	12	7.34063	KERKYRA (AIRPORT)
641	2025-10-18	12	6.2	KERKYRA (AIRPORT)	2025-10-18	12	0.980467	KERKYRA (AIRPORT)
641	2025-10-19	12	2.1	KERKYRA (AIRPORT)	2025-10-19	12	1.7509	KERKYRA (AIRPORT)
641	2025-10-20	12	2.6	KERKYRA (AIRPORT)	2025-10-20	12	1.08615	KERKYRA (AIRPORT)
641	2025-10-21	12	2.1	KERKYRA (AIRPORT)	2025-10-21	12	4.19396	KERKYRA (AIRPORT)
641	2025-10-22	12	5.7	KERKYRA (AIRPORT)	2025-10-22	12	7.90658	KERKYRA (AIRPORT)
641	2025-10-23	12	4.1	KERKYRA (AIRPORT)	2025-10-23	12	4.29305	KERKYRA (AIRPORT)
641	2025-10-24	12	5.1	KERKYRA (AIRPORT)	2025-10-24	12	4.47318	KERKYRA (AIRPORT)
641	2025-10-25	12	3.1	KERKYRA (AIRPORT)	2025-10-25	12	3.56649	KERKYRA (AIRPORT)
641	2025-10-26	12	7.2	KERKYRA (AIRPORT)	2025-10-26	12	6.93536	KERKYRA (AIRPORT)
641	2025-10-27	12	6.7	KERKYRA (AIRPORT)	2025-10-27	12	5.65225	KERKYRA (AIRPORT)
641	2025-10-28	12	2.1	KERKYRA (AIRPORT)	2025-10-28	12	1.86018	KERKYRA (AIRPORT)
641	2025-10-29	12	2.1	KERKYRA (AIRPORT)	2025-10-29	12	2.21666	KERKYRA (AIRPORT)
641	2025-10-30	12	3.1	KERKYRA (AIRPORT)	2025-10-30	12	3.73376	KERKYRA (AIRPORT)
641	2025-10-31	12	1.5	KERKYRA (AIRPORT)	2025-10-31	12	1.80605	KERKYRA (AIRPORT)
642	2025-10-01	12	0.5	IOANNINA (AIRPORT)	2025-10-01	12	1.41397	IOANNINA (AIRPORT)
642	2025-10-02	12	1	IOANNINA (AIRPORT)	2025-10-02	12	2.05801	IOANNINA (AIRPORT)
642	2025-10-03	12	1.5	IOANNINA (AIRPORT)	2025-10-03	12	2.34634	IOANNINA (AIRPORT)
642	2025-10-03	12	1	IOANNINA (AIRPORT)	2025-10-03	12	2.34634	IOANNINA (AIRPORT)
642	2025-10-04	12	2.1	IOANNINA (AIRPORT)	2025-10-04	12	1.98913	IOANNINA (AIRPORT)
642	2025-10-05	12	2.1	IOANNINA (AIRPORT)	2025-10-05	12	2.27753	IOANNINA (AIRPORT)
642	2025-10-06	12	2.1	IOANNINA (AIRPORT)	2025-10-06	12	1.78566	IOANNINA (AIRPORT)
642	2025-10-07	12	4.1	IOANNINA (AIRPORT)	2025-10-07	12	3.5362	IOANNINA (AIRPORT)
642	2025-10-08	12	5.1	IOANNINA (AIRPORT)	2025-10-08	12	3.90522	IOANNINA (AIRPORT)
642	2025-10-09	12	1.5	IOANNINA (AIRPORT)	2025-10-09	12	0.755471	IOANNINA (AIRPORT)
642	2025-10-10	12	1	IOANNINA (AIRPORT)	2025-10-10	12	0.854126	IOANNINA (AIRPORT)
642	2025-10-11	12	2.6	IOANNINA (AIRPORT)	2025-10-11	12	2.55076	IOANNINA (AIRPORT)
642	2025-10-12	12	1	IOANNINA (AIRPORT)	2025-10-12	12	1.73936	IOANNINA (AIRPORT)
642	2025-10-13	12	1.5	IOANNINA (AIRPORT)	2025-10-13	12	1.80054	IOANNINA (AIRPORT)
