obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
667	2025-10-20	MYTILINI (AIRPORT)	18	25	2025-10-20	18	0.128906
667	2025-10-21	MYTILINI (AIRPORT)	18	88	2025-10-21	18	100
667	2025-10-22	MYTILINI (AIRPORT)	18	75	2025-10-22	18	100
667	2025-10-23	MYTILINI (AIRPORT)	18	75	2025-10-23	18	100
667	2025-10-24	MYTILINI (AIRPORT)	18	75	2025-10-24	18	70.2637
667	2025-10-25	MYTILINI (AIRPORT)	18	25	2025-10-25	18	0
667	2025-10-26	MYTILINI (AIRPORT)	18	50	2025-10-26	18	2.7832
667	2025-10-27	MYTILINI (AIRPORT)	18	75	2025-10-27	18	99.9941
667	2025-10-28	MYTILINI (AIRPORT)	18	25	2025-10-28	18	0.796875
667	2025-10-29	MYTILINI (AIRPORT)	18	0	2025-10-29	18	0
667	2025-10-30	MYTILINI (AIRPORT)	18	13	2025-10-30	18	2.08984
667	2025-10-31	MYTILINI (AIRPORT)	18	63	2025-10-31	18	96.2949
682	2025-10-01	ANDRAVIDA (AIRPORT)	18	63	2025-10-01	18	72.1191
682	2025-10-02	ANDRAVIDA (AIRPORT)	18	88	2025-10-02	18	98.0254
682	2025-10-03	ANDRAVIDA (AIRPORT)	18	75	2025-10-03	18	89.7148
682	2025-10-04	ANDRAVIDA (AIRPORT)	18	75	2025-10-04	18	42.6152
682	2025-10-05	ANDRAVIDA (AIRPORT)	18	50	2025-10-05	18	83.6055
682	2025-10-06	ANDRAVIDA (AIRPORT)	18	63	2025-10-06	18	93.1914
682	2025-10-07	ANDRAVIDA (AIRPORT)	18	63	2025-10-07	18	28.9453
682	2025-10-08	ANDRAVIDA (AIRPORT)	18	50	2025-10-08	18	43.9355
682	2025-10-09	ANDRAVIDA (AIRPORT)	18	13	2025-10-09	18	38.7812
682	2025-10-10	ANDRAVIDA (AIRPORT)	18	38	2025-10-10	18	1.24805
682	2025-10-11	ANDRAVIDA (AIRPORT)	18	25	2025-10-11	18	2.89844
682	2025-10-12	ANDRAVIDA (AIRPORT)	18	25	2025-10-12	18	94.791
682	2025-10-13	ANDRAVIDA (AIRPORT)	18	63	2025-10-13	18	99.9727
682	2025-10-14	ANDRAVIDA (AIRPORT)	18	38	2025-10-14	18	11.4316
682	2025-10-15	ANDRAVIDA (AIRPORT)	18	50	2025-10-15	18	33.9141
682	2025-10-16	ANDRAVIDA (AIRPORT)	18	88	2025-10-16	18	99.9883
682	2025-10-17	ANDRAVIDA (AIRPORT)	18	75	2025-10-17	18	41.3965
682	2025-10-18	ANDRAVIDA (AIRPORT)	18	50	2025-10-18	18	54.2324
682	2025-10-19	ANDRAVIDA (AIRPORT)	18	88	2025-10-19	18	56.2988
682	2025-10-20	ANDRAVIDA (AIRPORT)	18	75	2025-10-20	18	100
682	2025-10-21	ANDRAVIDA (AIRPORT)	18	50	2025-10-21	18	19.25
682	2025-10-22	ANDRAVIDA (AIRPORT)	18	75	2025-10-22	18	100
682	2025-10-23	ANDRAVIDA (AIRPORT)	18	63	2025-10-23	18	99.8965
682	2025-10-24	ANDRAVIDA (AIRPORT)	18	38	2025-10-24	18	21.1758
682	2025-10-25	ANDRAVIDA (AIRPORT)	18	25	2025-10-25	18	97.0762
682	2025-10-26	ANDRAVIDA (AIRPORT)	18	38	2025-10-26	18	21.0605
682	2025-10-27	ANDRAVIDA (AIRPORT)	18	25	2025-10-27	18	79.2305
682	2025-10-28	ANDRAVIDA (AIRPORT)	18	25	2025-10-28	18	0.0175781
682	2025-10-29	ANDRAVIDA (AIRPORT)	18	13	2025-10-29	18	0
682	2025-10-30	ANDRAVIDA (AIRPORT)	18	75	2025-10-30	18	96.1953
682	2025-10-31	ANDRAVIDA (AIRPORT)	18	63	2025-10-31	18	99.4102
684	2025-10-01	SKYROS (AIRPORT)	18	63	2025-10-01	18	35.627
684	2025-10-02	SKYROS (AIRPORT)	18	100	2025-10-02	18	100
684	2025-10-03	SKYROS (AIRPORT)	18	63	2025-10-03	18	13.0039
684	2025-10-04	SKYROS (AIRPORT)	18	75	2025-10-04	18	16.5684
684	2025-10-05	SKYROS (AIRPORT)	18	25	2025-10-05	18	0
684	2025-10-06	SKYROS (AIRPORT)	18	88	2025-10-06	18	97.6074
684	2025-10-07	SKYROS (AIRPORT)	18	88	2025-10-07	18	99.8008
684	2025-10-08	SKYROS (AIRPORT)	18	88	2025-10-08	18	87.1465
684	2025-10-09	SKYROS (AIRPORT)	18	13	2025-10-09	18	0
684	2025-10-10	SKYROS (AIRPORT)	18	38	2025-10-10	18	3.83008
