obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	ecmwf_dates	ecmwf_mslp_table_h	ecmwf_mslp_table
642	2025-11-24	IOANNINA (AIRPORT)	0	1023.1	2025-11-22	48	1022.07
642	2025-11-25	IOANNINA (AIRPORT)	0	1020	2025-11-23	48	1018.75
642	2025-11-26	IOANNINA (AIRPORT)	0	1011.7	2025-11-24	48	1010.55
642	2025-11-27	IOANNINA (AIRPORT)	0	1010.2	2025-11-25	48	1008.85
642	2025-11-28	IOANNINA (AIRPORT)	0	1012.8	2025-11-26	48	1011.39
642	2025-11-29	IOANNINA (AIRPORT)	0	1011.3	2025-11-27	48	1010.99
642	2025-11-30	IOANNINA (AIRPORT)	0	1013.5	2025-11-28	48	1013.38
643	2025-11-03	AKTION (AIRPORT)	0	1019	2025-11-01	48	1019.15
643	2025-11-04	AKTION (AIRPORT)	0	1018.6	2025-11-02	48	1018.17
643	2025-11-05	AKTION (AIRPORT)	0	1017.7	2025-11-03	48	1018.63
643	2025-11-06	AKTION (AIRPORT)	0	1016.9	2025-11-04	48	1017.06
643	2025-11-07	AKTION (AIRPORT)	0	1014.1	2025-11-05	48	1014.66
643	2025-11-08	AKTION (AIRPORT)	0	1013.6	2025-11-06	48	1014.21
643	2025-11-09	AKTION (AIRPORT)	0	1017	2025-11-07	48	1016.67
643	2025-11-10	AKTION (AIRPORT)	0	1014.1	2025-11-08	48	1014.63
643	2025-11-11	AKTION (AIRPORT)	0	1015.1	2025-11-09	48	1014.81
643	2025-11-12	AKTION (AIRPORT)	0	1018.9	2025-11-10	48	1018.58
643	2025-11-13	AKTION (AIRPORT)	0	1022.5	2025-11-11	48	1022.22
643	2025-11-14	AKTION (AIRPORT)	0	1022.9	2025-11-12	48	1022.97
643	2025-11-15	AKTION (AIRPORT)	0	1020.7	2025-11-13	48	1021.04
643	2025-11-16	AKTION (AIRPORT)	0	1018.7	2025-11-14	48	1018.91
643	2025-11-17	AKTION (AIRPORT)	0	1019.8	2025-11-15	48	1019.35
643	2025-11-18	AKTION (AIRPORT)	0	1017.1	2025-11-16	48	1015.15
643	2025-11-19	AKTION (AIRPORT)	0	1015.4	2025-11-17	48	1015.29
643	2025-11-20	AKTION (AIRPORT)	0	1013.9	2025-11-18	48	1015.07
643	2025-11-21	AKTION (AIRPORT)	0	1011.1	2025-11-19	48	1010.24
643	2025-11-22	AKTION (AIRPORT)	0	1013.4	2025-11-20	48	1013.04
643	2025-11-23	AKTION (AIRPORT)	0	1015.7	2025-11-21	48	1015.83
643	2025-11-24	AKTION (AIRPORT)	0	1020.6	2025-11-22	48	1020.75
643	2025-11-25	AKTION (AIRPORT)	0	1018.1	2025-11-23	48	1018.2
643	2025-11-26	AKTION (AIRPORT)	0	1011.1	2025-11-24	48	1010.66
643	2025-11-27	AKTION (AIRPORT)	0	1008.8	2025-11-25	48	1008.63
643	2025-11-28	AKTION (AIRPORT)	0	1010.9	2025-11-26	48	1011.25
643	2025-11-29	AKTION (AIRPORT)	0	1010.2	2025-11-27	48	1010.52
643	2025-11-30	AKTION (AIRPORT)	0	1012.3	2025-11-28	48	1012.54
648	2025-11-03	LARISSA (AIRPORT)	0	1019.9	2025-11-01	48	1019.07
648	2025-11-04	LARISSA (AIRPORT)	0	1018.2	2025-11-02	48	1017.63
648	2025-11-05	LARISSA (AIRPORT)	0	1021.4	2025-11-03	48	1021.26
648	2025-11-06	LARISSA (AIRPORT)	0	1020.5	2025-11-04	48	1020.05
648	2025-11-07	LARISSA (AIRPORT)	0	1016.5	2025-11-05	48	1016.74
648	2025-11-08	LARISSA (AIRPORT)	0	1016.3	2025-11-06	48	1016.66
648	2025-11-09	LARISSA (AIRPORT)	0	1017.6	2025-11-07	48	1016.97
648	2025-11-10	LARISSA (AIRPORT)	0	1015.1	2025-11-08	48	1015.18
648	2025-11-11	LARISSA (AIRPORT)	0	1012.9	2025-11-09	48	1011.66
648	2025-11-12	LARISSA (AIRPORT)	0	1018.8	2025-11-10	48	1018.62
648	2025-11-13	LARISSA (AIRPORT)	0	1023.7	2025-11-11	48	1023.22
648	2025-11-14	LARISSA (AIRPORT)	0	1023	2025-11-12	48	1022.87
648	2025-11-15	LARISSA (AIRPORT)	0	1020.7	2025-11-13	48	1020.71
648	2025-11-16	LARISSA (AIRPORT)	0	1017.7	2025-11-14	48	1017.46
648	2025-11-17	LARISSA (AIRPORT)	0	1020.1	2025-11-15	48	1019.08
648	2025-11-18	LARISSA (AIRPORT)	0	1016.3	2025-11-16	48	1015.65
648	2025-11-19	LARISSA (AIRPORT)	0	1014.5	2025-11-17	48	1015.07
648	2025-11-20	LARISSA (AIRPORT)	0	1015.9	2025-11-18	48	1014.79
648	2025-11-21	LARISSA (AIRPORT)	0	1012.9	2025-11-19	48	1011.9
648	2025-11-22	LARISSA (AIRPORT)	0	1013.2	2025-11-20	48	1012.09
648	2025-11-23	LARISSA (AIRPORT)	0	1013.7	2025-11-21	48	1013.93
648	2025-11-24	LARISSA (AIRPORT)	0	1018.8	2025-11-22	48	1018.68
648	2025-11-25	LARISSA (AIRPORT)	0	1018.5	2025-11-23	48	1018.26
648	2025-11-26	LARISSA (AIRPORT)	0	1011.4	2025-11-24	48	1010.63
648	2025-11-27	LARISSA (AIRPORT)	0	1010.3	2025-11-25	48	1009.42
648	2025-11-28	LARISSA (AIRPORT)	0	1013.4	2025-11-26	48	1011.66
648	2025-11-29	LARISSA (AIRPORT)	0	1011.2	2025-11-27	48	1011.7
648	2025-11-30	LARISSA (AIRPORT)	0	1011.1	2025-11-28	48	1011.53
650	2025-11-03	LIMNOS (AIRPORT)	0	1018.7	2025-11-01	48	1018.49
650	2025-11-04	LIMNOS (AIRPORT)	0	1018.2	2025-11-02	48	1017.88
650	2025-11-05	LIMNOS (AIRPORT)	0	1019.6	2025-11-03	48	1020.32
650	2025-11-06	LIMNOS (AIRPORT)	0	1018.7	2025-11-04	48	1018.84
650	2025-11-07	LIMNOS (AIRPORT)	0	1015.4	2025-11-05	48	1015.19
650	2025-11-08	LIMNOS (AIRPORT)	0	1017.3	2025-11-06	48	1017.1
650	2025-11-09	LIMNOS (AIRPORT)	0	1017.3	2025-11-07	48	1016.93
650	2025-11-10	LIMNOS (AIRPORT)	0	1017.1	2025-11-08	48	1016.57
650	2025-11-11	LIMNOS (AIRPORT)	0	1011.5	2025-11-09	48	1010.81
650	2025-11-12	LIMNOS (AIRPORT)	0	1017.1	2025-11-10	48	1017.89
650	2025-11-13	LIMNOS (AIRPORT)	0	1022.3	2025-11-11	48	1022.45
650	2025-11-14	LIMNOS (AIRPORT)	0	1022.3	2025-11-12	48	1022.46
650	2025-11-15	LIMNOS (AIRPORT)	0	1019.9	2025-11-13	48	1020.44
650	2025-11-16	LIMNOS (AIRPORT)	0	1017.3	2025-11-14	48	1017.49
650	2025-11-17	LIMNOS (AIRPORT)	0	1019.4	2025-11-15	48	1019.37
650	2025-11-18	LIMNOS (AIRPORT)	0	1017.8	2025-11-16	48	1017.64
650	2025-11-19	LIMNOS (AIRPORT)	0	1016.9	2025-11-17	48	1016.62
650	2025-11-20	LIMNOS (AIRPORT)	0	1016.5	2025-11-18	48	1016.34
650	2025-11-21	LIMNOS (AIRPORT)	0	1015.8	2025-11-19	48	1015.05
650	2025-11-22	LIMNOS (AIRPORT)	0	1015.1	2025-11-20	48	1014.13
650	2025-11-23	LIMNOS (AIRPORT)	0	1013.9	2025-11-21	48	1013.58
650	2025-11-24	LIMNOS (AIRPORT)	0	1015.8	2025-11-22	48	1015.89
650	2025-11-25	LIMNOS (AIRPORT)	0	1018	2025-11-23	48	1018.22
650	2025-11-26	LIMNOS (AIRPORT)	0	1011.9	2025-11-24	48	1012.38
650	2025-11-27	LIMNOS (AIRPORT)	0	1012.5	2025-11-25	48	1012.12
650	2025-11-28	LIMNOS (AIRPORT)	0	1014.5	2025-11-26	48	1013.44
650	2025-11-29	LIMNOS (AIRPORT)	0	1010	2025-11-27	48	1011.36
650	2025-11-30	LIMNOS (AIRPORT)	0	1009.3	2025-11-28	48	1009.76
667	2025-11-03	MYTILINI (AIRPORT)	0	1019.5	2025-11-01	48	1018.36
667	2025-11-04	MYTILINI (AIRPORT)	0	1019.6	2025-11-02	48	1018.55
667	2025-11-05	MYTILINI (AIRPORT)	0	1019.1	2025-11-03	48	1018.97
667	2025-11-06	MYTILINI (AIRPORT)	0	1016.6	2025-11-04	48	1016.61
667	2025-11-07	MYTILINI (AIRPORT)	0	1013.8	2025-11-05	48	1013.77
667	2025-11-08	MYTILINI (AIRPORT)	0	1017.5	2025-11-06	48	1017.76
667	2025-11-09	MYTILINI (AIRPORT)	0	1018.9	2025-11-07	48	1018.98
667	2025-11-10	MYTILINI (AIRPORT)	0	1019.8	2025-11-08	48	1018.27
667	2025-11-11	MYTILINI (AIRPORT)	0	1014.2	2025-11-09	48	1013.33
667	2025-11-12	MYTILINI (AIRPORT)	0	1017.3	2025-11-10	48	1017.27
667	2025-11-13	MYTILINI (AIRPORT)	0	1021.6	2025-11-11	48	1021.49
667	2025-11-14	MYTILINI (AIRPORT)	0	1021.9	2025-11-12	48	1021.92
667	2025-11-15	MYTILINI (AIRPORT)	0	1019.8	2025-11-13	48	1019.88
667	2025-11-16	MYTILINI (AIRPORT)	0	1018	2025-11-14	48	1017.76
667	2025-11-17	MYTILINI (AIRPORT)	0	1021.6	2025-11-15	48	1020.51
667	2025-11-18	MYTILINI (AIRPORT)	0	1021.8	2025-11-16	48	1020.38
667	2025-11-19	MYTILINI (AIRPORT)	0	1019.8	2025-11-17	48	1019.1
667	2025-11-20	MYTILINI (AIRPORT)	0	1019	2025-11-18	48	1018.41
667	2025-11-21	MYTILINI (AIRPORT)	0	1018	2025-11-19	48	1017.44
