obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	icon_dates	icon_mslp_table_h	icon_mslp_table
643	2025-11-30	AKTION (AIRPORT)	21	1018.2	2025-11-29	45	1018.55
648	2025-11-02	LARISSA (AIRPORT)	21	1020.6	2025-11-01	45	1020.06
648	2025-11-03	LARISSA (AIRPORT)	21	1018.6	2025-11-02	45	1018.26
648	2025-11-04	LARISSA (AIRPORT)	21	1021.3	2025-11-03	45	1021.21
648	2025-11-05	LARISSA (AIRPORT)	21	1021.1	2025-11-04	45	1020.88
648	2025-11-06	LARISSA (AIRPORT)	21	1017.1	2025-11-05	45	1016.86
648	2025-11-07	LARISSA (AIRPORT)	21	1016.8	2025-11-06	45	1016.81
648	2025-11-08	LARISSA (AIRPORT)	21	1017.5	2025-11-07	45	1017.22
648	2025-11-09	LARISSA (AIRPORT)	21	1016.7	2025-11-08	45	1016.85
648	2025-11-10	LARISSA (AIRPORT)	21	1012.9	2025-11-09	45	1011.9
648	2025-11-11	LARISSA (AIRPORT)	21	1018.3	2025-11-10	45	1017.32
648	2025-11-12	LARISSA (AIRPORT)	21	1023.7	2025-11-11	45	1023.29
648	2025-11-13	LARISSA (AIRPORT)	21	1023	2025-11-12	45	1023.48
648	2025-11-14	LARISSA (AIRPORT)	21	1020.6	2025-11-13	45	1021.22
648	2025-11-15	LARISSA (AIRPORT)	21	1017.7	2025-11-14	45	1018.22
648	2025-11-16	LARISSA (AIRPORT)	21	1020	2025-11-15	45	1020.17
648	2025-11-17	LARISSA (AIRPORT)	21	1017.7	2025-11-16	45	1017.48
648	2025-11-18	LARISSA (AIRPORT)	21	1015.3	2025-11-17	45	1016.38
648	2025-11-19	LARISSA (AIRPORT)	21	1015.9	2025-11-18	45	1015.22
648	2025-11-20	LARISSA (AIRPORT)	21	1014.2	2025-11-19	45	1013.9
648	2025-11-21	LARISSA (AIRPORT)	21	1013.9	2025-11-20	45	1012.65
648	2025-11-22	LARISSA (AIRPORT)	21	1013.8	2025-11-21	45	1013.86
648	2025-11-24	LARISSA (AIRPORT)	21	1018.7	2025-11-23	45	1019.28
648	2025-11-25	LARISSA (AIRPORT)	21	1012.5	2025-11-24	45	1012.73
648	2025-11-26	LARISSA (AIRPORT)	21	1010.7	2025-11-25	45	1010.12
648	2025-11-27	LARISSA (AIRPORT)	21	1014.1	2025-11-26	45	1011.4
648	2025-11-28	LARISSA (AIRPORT)	21	1012.1	2025-11-27	45	1012.1
648	2025-11-29	LARISSA (AIRPORT)	21	1010.7	2025-11-28	45	1010.79
648	2025-11-30	LARISSA (AIRPORT)	21	1016.1	2025-11-29	45	1016.88
650	2025-11-02	LIMNOS (AIRPORT)	21	1019.6	2025-11-01	45	1019.72
650	2025-11-03	LIMNOS (AIRPORT)	21	1018.6	2025-11-02	45	1018.83
650	2025-11-04	LIMNOS (AIRPORT)	21	1019.9	2025-11-03	45	1020.37
650	2025-11-05	LIMNOS (AIRPORT)	21	1019.4	2025-11-04	45	1019.69
650	2025-11-06	LIMNOS (AIRPORT)	21	1015.9	2025-11-05	45	1015.66
650	2025-11-07	LIMNOS (AIRPORT)	21	1017	2025-11-06	45	1017.25
650	2025-11-08	LIMNOS (AIRPORT)	21	1017.1	2025-11-07	45	1017.4
650	2025-11-09	LIMNOS (AIRPORT)	21	1018.7	2025-11-08	45	1018.12
650	2025-11-10	LIMNOS (AIRPORT)	21	1012	2025-11-09	45	1012.15
650	2025-11-11	LIMNOS (AIRPORT)	21	1016.7	2025-11-10	45	1016.51
650	2025-11-12	LIMNOS (AIRPORT)	21	1022.5	2025-11-11	45	1022.55
650	2025-11-13	LIMNOS (AIRPORT)	21	1022.5	2025-11-12	45	1023.06
650	2025-11-14	LIMNOS (AIRPORT)	21	1019.9	2025-11-13	45	1021.01
650	2025-11-15	LIMNOS (AIRPORT)	21	1017.3	2025-11-14	45	1018.15
650	2025-11-16	LIMNOS (AIRPORT)	21	1019.6	2025-11-15	45	1019.98
650	2025-11-17	LIMNOS (AIRPORT)	21	1018.2	2025-11-16	45	1018.02
650	2025-11-18	LIMNOS (AIRPORT)	21	1017	2025-11-17	45	1017.7
650	2025-11-19	LIMNOS (AIRPORT)	21	1016.7	2025-11-18	45	1016.19
650	2025-11-20	LIMNOS (AIRPORT)	21	1016	2025-11-19	45	1016.15
650	2025-11-21	LIMNOS (AIRPORT)	21	1015.6	2025-11-20	45	1014.91
650	2025-11-22	LIMNOS (AIRPORT)	21	1014.6	2025-11-21	45	1014.51
650	2025-11-23	LIMNOS (AIRPORT)	21	1015.5	2025-11-22	45	1015.77
650	2025-11-24	LIMNOS (AIRPORT)	21	1018.3	2025-11-23	45	1018.98
650	2025-11-25	LIMNOS (AIRPORT)	21	1013.1	2025-11-24	45	1013.93
650	2025-11-26	LIMNOS (AIRPORT)	21	1012.7	2025-11-25	45	1013.17
650	2025-11-27	LIMNOS (AIRPORT)	21	1015.4	2025-11-26	45	1013.78
650	2025-11-28	LIMNOS (AIRPORT)	21	1011.1	2025-11-27	45	1012.71
650	2025-11-29	LIMNOS (AIRPORT)	21	1009.3	2025-11-28	45	1009.49
650	2025-11-30	LIMNOS (AIRPORT)	21	1014.3	2025-11-29	45	1015.73
667	2025-11-02	MYTILINI (AIRPORT)	21	1019.6	2025-11-01	45	1019.34
667	2025-11-03	MYTILINI (AIRPORT)	21	1019.9	2025-11-02	45	1019.16
667	2025-11-04	MYTILINI (AIRPORT)	21	1019.1	2025-11-03	45	1019.16
667	2025-11-05	MYTILINI (AIRPORT)	21	1017.3	2025-11-04	45	1016.95
667	2025-11-06	MYTILINI (AIRPORT)	21	1013.9	2025-11-05	45	1013.55
667	2025-11-07	MYTILINI (AIRPORT)	21	1017.1	2025-11-06	45	1017.52
667	2025-11-08	MYTILINI (AIRPORT)	21	1019.1	2025-11-07	45	1019.37
667	2025-11-09	MYTILINI (AIRPORT)	21	1020.5	2025-11-08	45	1019.51
667	2025-11-10	MYTILINI (AIRPORT)	21	1016	2025-11-09	45	1014.02
667	2025-11-11	MYTILINI (AIRPORT)	21	1017	2025-11-10	45	1016.31
667	2025-11-12	MYTILINI (AIRPORT)	21	1021.5	2025-11-11	45	1020.96
