obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
648	2025-11-28	LARISSA (AIRPORT)	6	88	2025-11-28	6	83.9961
648	2025-11-30	LARISSA (AIRPORT)	6	38	2025-11-30	6	98.6641
650	2025-11-01	LIMNOS (AIRPORT)	6	50	2025-11-01	6	47.8086
650	2025-11-02	LIMNOS (AIRPORT)	6	63	2025-11-02	6	29.0195
650	2025-11-03	LIMNOS (AIRPORT)	6	38	2025-11-03	6	70.7305
650	2025-11-04	LIMNOS (AIRPORT)	6	88	2025-11-04	6	99.9453
650	2025-11-05	LIMNOS (AIRPORT)	6	88	2025-11-05	6	99.082
650	2025-11-06	LIMNOS (AIRPORT)	6	88	2025-11-06	6	86.5723
650	2025-11-07	LIMNOS (AIRPORT)	6	88	2025-11-07	6	100
650	2025-11-08	LIMNOS (AIRPORT)	6	63	2025-11-08	6	57.3242
650	2025-11-09	LIMNOS (AIRPORT)	6	88	2025-11-09	6	98.6426
650	2025-11-10	LIMNOS (AIRPORT)	6	75	2025-11-10	6	100
650	2025-11-11	LIMNOS (AIRPORT)	6	25	2025-11-11	6	14.3887
650	2025-11-12	LIMNOS (AIRPORT)	6	25	2025-11-12	6	1.33594
650	2025-11-13	LIMNOS (AIRPORT)	6	25	2025-11-13	6	0.994141
650	2025-11-14	LIMNOS (AIRPORT)	6	13	2025-11-14	6	0.115234
650	2025-11-15	LIMNOS (AIRPORT)	6	50	2025-11-15	6	24.0234
650	2025-11-16	LIMNOS (AIRPORT)	6	38	2025-11-16	6	6.56445
650	2025-11-17	LIMNOS (AIRPORT)	6	50	2025-11-17	6	91.5957
650	2025-11-18	LIMNOS (AIRPORT)	6	88	2025-11-18	6	97.2051
650	2025-11-19	LIMNOS (AIRPORT)	6	88	2025-11-19	6	99.668
650	2025-11-20	LIMNOS (AIRPORT)	6	88	2025-11-20	6	98.709
650	2025-11-21	LIMNOS (AIRPORT)	6	75	2025-11-21	6	90.4746
650	2025-11-22	LIMNOS (AIRPORT)	6	38	2025-11-22	6	0.552734
650	2025-11-23	LIMNOS (AIRPORT)	6	88	2025-11-23	6	99.8262
650	2025-11-24	LIMNOS (AIRPORT)	6	25	2025-11-24	6	3.8125
650	2025-11-25	LIMNOS (AIRPORT)	6	75	2025-11-25	6	99.9727
650	2025-11-26	LIMNOS (AIRPORT)	6	50	2025-11-26	6	22.2227
650	2025-11-27	LIMNOS (AIRPORT)	6	63	2025-11-27	6	50.9277
650	2025-11-28	LIMNOS (AIRPORT)	6	88	2025-11-28	6	99.9961
650	2025-11-29	LIMNOS (AIRPORT)	6	88	2025-11-29	6	70.8262
650	2025-11-30	LIMNOS (AIRPORT)	6	63	2025-11-30	6	18.1211
667	2025-11-01	MYTILINI (AIRPORT)	6	50	2025-11-01	6	99.8105
667	2025-11-02	MYTILINI (AIRPORT)	6	63	2025-11-02	6	93.9355
667	2025-11-03	MYTILINI (AIRPORT)	6	50	2025-11-03	6	99.6973
667	2025-11-04	MYTILINI (AIRPORT)	6	50	2025-11-04	6	100
667	2025-11-05	MYTILINI (AIRPORT)	6	75	2025-11-05	6	99.8848
667	2025-11-06	MYTILINI (AIRPORT)	6	50	2025-11-06	6	98.1816
667	2025-11-07	MYTILINI (AIRPORT)	6	38	2025-11-07	6	2.14453
667	2025-11-08	MYTILINI (AIRPORT)	6	25	2025-11-08	6	94.6602
667	2025-11-09	MYTILINI (AIRPORT)	6	88	2025-11-09	6	95.6543
667	2025-11-10	MYTILINI (AIRPORT)	6	63	2025-11-10	6	15.0605
667	2025-11-11	MYTILINI (AIRPORT)	6	88	2025-11-11	6	100
667	2025-11-12	MYTILINI (AIRPORT)	6	50	2025-11-12	6	0.5
667	2025-11-13	MYTILINI (AIRPORT)	6	25	2025-11-13	6	3.91797
667	2025-11-14	MYTILINI (AIRPORT)	6	0	2025-11-14	6	2.18555
