obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
682	2025-11-30	ANDRAVIDA (AIRPORT)	3	63	2025-11-30	3	64.168
684	2025-11-01	SKYROS (AIRPORT)	3	88	2025-11-01	3	90.2773
684	2025-11-02	SKYROS (AIRPORT)	3	63	2025-11-02	3	84.8809
684	2025-11-03	SKYROS (AIRPORT)	3	13	2025-11-03	3	0
684	2025-11-10	SKYROS (AIRPORT)	3	75	2025-11-10	3	100
684	2025-11-11	SKYROS (AIRPORT)	3	38	2025-11-11	3	0
684	2025-11-12	SKYROS (AIRPORT)	3	75	2025-11-12	3	83.6758
684	2025-11-15	SKYROS (AIRPORT)	3	13	2025-11-15	3	59.873
684	2025-11-16	SKYROS (AIRPORT)	3	25	2025-11-16	3	6.52539
684	2025-11-17	SKYROS (AIRPORT)	3	25	2025-11-17	3	5.79297
684	2025-11-18	SKYROS (AIRPORT)	3	63	2025-11-18	3	92.7461
684	2025-11-19	SKYROS (AIRPORT)	3	75	2025-11-19	3	100
684	2025-11-20	SKYROS (AIRPORT)	3	50	2025-11-20	3	100
684	2025-11-21	SKYROS (AIRPORT)	3	63	2025-11-21	3	99.0195
684	2025-11-23	SKYROS (AIRPORT)	3	75	2025-11-23	3	100
684	2025-11-26	SKYROS (AIRPORT)	3	63	2025-11-26	3	100
684	2025-11-27	SKYROS (AIRPORT)	3	50	2025-11-27	3	81.9961
684	2025-11-29	SKYROS (AIRPORT)	3	50	2025-11-29	3	40.8125
684	2025-11-30	SKYROS (AIRPORT)	3	38	2025-11-30	3	73.8926
685	2025-11-08	KEFALHNIA (AIRPORT)	3	88	2025-11-08	3	100
706	2025-11-06	CHIOS (AIRPORT)	3	0	2025-11-06	3	99.5645
718	2025-11-01	ELEFSIS (AIRPORT)	3	75	2025-11-01	3	100
718	2025-11-02	ELEFSIS (AIRPORT)	3	88	2025-11-02	3	100
718	2025-11-03	ELEFSIS (AIRPORT)	3	38	2025-11-03	3	72.7539
718	2025-11-04	ELEFSIS (AIRPORT)	3	63	2025-11-04	3	58.7422
718	2025-11-05	ELEFSIS (AIRPORT)	3	88	2025-11-05	3	100
718	2025-11-06	ELEFSIS (AIRPORT)	3	50	2025-11-06	3	78.4316
718	2025-11-07	ELEFSIS (AIRPORT)	3	63	2025-11-07	3	37.0703
718	2025-11-08	ELEFSIS (AIRPORT)	3	63	2025-11-08	3	97.8047
718	2025-11-09	ELEFSIS (AIRPORT)	3	63	2025-11-09	3	99.4004
718	2025-11-10	ELEFSIS (AIRPORT)	3	75	2025-11-10	3	100
718	2025-11-11	ELEFSIS (AIRPORT)	3	50	2025-11-11	3	18.4414
718	2025-11-12	ELEFSIS (AIRPORT)	3	13	2025-11-12	3	100
718	2025-11-13	ELEFSIS (AIRPORT)	3	13	2025-11-13	3	0
718	2025-11-14	ELEFSIS (AIRPORT)	3	13	2025-11-14	3	0
718	2025-11-15	ELEFSIS (AIRPORT)	3	0	2025-11-15	3	0
718	2025-11-16	ELEFSIS (AIRPORT)	3	25	2025-11-16	3	2.42188
718	2025-11-17	ELEFSIS (AIRPORT)	3	25	2025-11-17	3	24.9844
718	2025-11-18	ELEFSIS (AIRPORT)	3	63	2025-11-18	3	84.3848
718	2025-11-19	ELEFSIS (AIRPORT)	3	50	2025-11-19	3	100
718	2025-11-20	ELEFSIS (AIRPORT)	3	63	2025-11-20	3	98.4297
718	2025-11-21	ELEFSIS (AIRPORT)	3	50	2025-11-21	3	34.2637
718	2025-11-22	ELEFSIS (AIRPORT)	3	50	2025-11-22	3	50.2148
718	2025-11-23	ELEFSIS (AIRPORT)	3	88	2025-11-23	3	100
718	2025-11-24	ELEFSIS (AIRPORT)	3	13	2025-11-24	3	0
718	2025-11-25	ELEFSIS (AIRPORT)	3	25	2025-11-25	3	98.6348
718	2025-11-26	ELEFSIS (AIRPORT)	3	50	2025-11-26	3	97.0391
718	2025-11-27	ELEFSIS (AIRPORT)	3	75	2025-11-27	3	100
718	2025-11-28	ELEFSIS (AIRPORT)	3	100	2025-11-28	3	100
718	2025-11-29	ELEFSIS (AIRPORT)	3	75	2025-11-29	3	12.2305
718	2025-11-30	ELEFSIS (AIRPORT)	3	50	2025-11-30	3	0.484375
723	2025-11-01	SAMOS	3	50	2025-11-01	3	80.5918
723	2025-11-02	SAMOS	3	88	2025-11-02	3	100
723	2025-11-03	SAMOS	3	38	2025-11-03	3	40.2051
723	2025-11-04	SAMOS	3	50	2025-11-04	3	100
723	2025-11-05	SAMOS	3	63	2025-11-05	3	100
723	2025-11-06	SAMOS	3	50	2025-11-06	3	100
723	2025-11-07	SAMOS	3	88	2025-11-07	3	98.9746
723	2025-11-08	SAMOS	3	25	2025-11-08	3	100
723	2025-11-09	SAMOS	3	38	2025-11-09	3	97.1992
723	2025-11-10	SAMOS	3	63	2025-11-10	3	98.8184
723	2025-11-11	SAMOS	3	63	2025-11-11	3	100
723	2025-11-12	SAMOS	3	25	2025-11-12	3	0.365234
723	2025-11-13	SAMOS	3	25	2025-11-13	3	0
723	2025-11-14	SAMOS	3	13	2025-11-14	3	0
723	2025-11-15	SAMOS	3	13	2025-11-15	3	0
723	2025-11-16	SAMOS	3	0	2025-11-16	3	63.9922
723	2025-11-17	SAMOS	3	38	2025-11-17	3	0
723	2025-11-18	SAMOS	3	50	2025-11-18	3	100
723	2025-11-19	SAMOS	3	63	2025-11-19	3	99.8926
723	2025-11-20	SAMOS	3	63	2025-11-20	3	100
723	2025-11-21	SAMOS	3	50	2025-11-21	3	99.7422
723	2025-11-22	SAMOS	3	38	2025-11-22	3	100
723	2025-11-23	SAMOS	3	88	2025-11-23	3	100
723	2025-11-24	SAMOS	3	88	2025-11-24	3	0
723	2025-11-25	SAMOS	3	50	2025-11-25	3	0
723	2025-11-26	SAMOS	3	63	2025-11-26	3	93.3945
723	2025-11-27	SAMOS	3	88	2025-11-27	3	100
723	2025-11-28	SAMOS	3	75	2025-11-28	3	90.2266
723	2025-11-29	SAMOS	3	88	2025-11-29	3	100
723	2025-11-30	SAMOS	3	75	2025-11-30	3	100
726	2025-11-01	KALAMATA (AIRPORT)	3	75	2025-11-01	3	100
726	2025-11-02	KALAMATA (AIRPORT)	3	50	2025-11-02	3	100
726	2025-11-03	KALAMATA (AIRPORT)	3	38	2025-11-03	3	9.97656
726	2025-11-04	KALAMATA (AIRPORT)	3	88	2025-11-04	3	100
726	2025-11-05	KALAMATA (AIRPORT)	3	38	2025-11-05	3	43.3496
726	2025-11-06	KALAMATA (AIRPORT)	3	50	2025-11-06	3	0
726	2025-11-07	KALAMATA (AIRPORT)	3	50	2025-11-07	3	40.3262
726	2025-11-08	KALAMATA (AIRPORT)	3	88	2025-11-08	3	100
726	2025-11-09	KALAMATA (AIRPORT)	3	88	2025-11-09	3	100
726	2025-11-10	KALAMATA (AIRPORT)	3	88	2025-11-10	3	100
726	2025-11-11	KALAMATA (AIRPORT)	3	38	2025-11-11	3	39.584
726	2025-11-12	KALAMATA (AIRPORT)	3	50	2025-11-12	3	100
726	2025-11-13	KALAMATA (AIRPORT)	3	38	2025-11-13	3	0
726	2025-11-14	KALAMATA (AIRPORT)	3	13	2025-11-14	3	0
726	2025-11-15	KALAMATA (AIRPORT)	3	13	2025-11-15	3	1.92188
726	2025-11-16	KALAMATA (AIRPORT)	3	13	2025-11-16	3	30.041
726	2025-11-17	KALAMATA (AIRPORT)	3	0	2025-11-17	3	45.7793
726	2025-11-18	KALAMATA (AIRPORT)	3	75	2025-11-18	3	53.5273
726	2025-11-19	KALAMATA (AIRPORT)	3	75	2025-11-19	3	100
726	2025-11-20	KALAMATA (AIRPORT)	3	50	2025-11-20	3	77.1973
