obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	icon_dates	icon_td_table_h	icon_td_table
632	2025-11-29	KOZANI (AIRPORT)	9	4.65	2025-11-29	9	3.4874
632	2025-11-30	KOZANI (AIRPORT)	9	3.25	2025-11-30	9	2.89713
641	2025-11-01	KERKYRA (AIRPORT)	9	15.45	2025-11-01	9	14.6965
641	2025-11-02	KERKYRA (AIRPORT)	9	16.25	2025-11-02	9	15.2968
641	2025-11-03	KERKYRA (AIRPORT)	9	17.15	2025-11-03	9	17.1955
641	2025-11-04	KERKYRA (AIRPORT)	9	16.45	2025-11-04	9	16.4529
641	2025-11-05	KERKYRA (AIRPORT)	9	14.15	2025-11-05	9	11.6837
641	2025-11-06	KERKYRA (AIRPORT)	9	13.25	2025-11-06	9	13.3357
641	2025-11-07	KERKYRA (AIRPORT)	9	14.45	2025-11-07	9	14.7229
641	2025-11-08	KERKYRA (AIRPORT)	9	14.75	2025-11-08	9	16.2024
641	2025-11-09	KERKYRA (AIRPORT)	9	15.45	2025-11-09	9	16.4699
641	2025-11-10	KERKYRA (AIRPORT)	9	15.25	2025-11-10	9	16.0541
641	2025-11-11	KERKYRA (AIRPORT)	9	12.25	2025-11-11	9	12.6361
641	2025-11-12	KERKYRA (AIRPORT)	9	12.25	2025-11-12	9	11.4047
641	2025-11-13	KERKYRA (AIRPORT)	9	14.45	2025-11-13	9	11.1562
641	2025-11-14	KERKYRA (AIRPORT)	9	13.15	2025-11-14	9	11.8707
641	2025-11-15	KERKYRA (AIRPORT)	9	14.45	2025-11-15	9	13.2357
641	2025-11-16	KERKYRA (AIRPORT)	9	14.25	2025-11-16	9	12.3468
641	2025-11-17	KERKYRA (AIRPORT)	9	12.75	2025-11-17	9	15.0683
641	2025-11-18	KERKYRA (AIRPORT)	9	17.75	2025-11-18	9	17.717
641	2025-11-19	KERKYRA (AIRPORT)	9	13.95	2025-11-19	9	17.5396
641	2025-11-20	KERKYRA (AIRPORT)	9	15.25	2025-11-20	9	15.4431
641	2025-11-21	KERKYRA (AIRPORT)	9	17.75	2025-11-21	9	15.4268
641	2025-11-22	KERKYRA (AIRPORT)	9	11.15	2025-11-22	9	13.6875
641	2025-11-23	KERKYRA (AIRPORT)	9	7.95	2025-11-23	9	9.77686
641	2025-11-24	KERKYRA (AIRPORT)	9	9.25	2025-11-24	9	7.0506
641	2025-11-25	KERKYRA (AIRPORT)	9	15.95	2025-11-25	9	14.6275
641	2025-11-26	KERKYRA (AIRPORT)	9	13.15	2025-11-26	9	14.5038
641	2025-11-27	KERKYRA (AIRPORT)	9	12.15	2025-11-27	9	13.7308
641	2025-11-28	KERKYRA (AIRPORT)	9	9.95	2025-11-28	9	11.9094
641	2025-11-29	KERKYRA (AIRPORT)	9	8.45	2025-11-29	9	8.69736
641	2025-11-30	KERKYRA (AIRPORT)	9	10.95	2025-11-30	9	10.4987
642	2025-11-01	IOANNINA (AIRPORT)	9	12.65	2025-11-01	9	11.5442
642	2025-11-02	IOANNINA (AIRPORT)	9	13.45	2025-11-02	9	11.8935
642	2025-11-03	IOANNINA (AIRPORT)	9	14.15	2025-11-03	9	12.8566
642	2025-11-05	IOANNINA (AIRPORT)	9	10.75	2025-11-05	9	9.20514
642	2025-11-06	IOANNINA (AIRPORT)	9	9.45	2025-11-06	9	9.0945
642	2025-11-07	IOANNINA (AIRPORT)	9	12.25	2025-11-07	9	8.86545
642	2025-11-08	IOANNINA (AIRPORT)	9	12.65	2025-11-08	9	12.4954
642	2025-11-09	IOANNINA (AIRPORT)	9	13.75	2025-11-09	9	12.5256
642	2025-11-10	IOANNINA (AIRPORT)	9	11.75	2025-11-10	9	12.1381
642	2025-11-11	IOANNINA (AIRPORT)	9	10.65	2025-11-11	9	9.34705
642	2025-11-12	IOANNINA (AIRPORT)	9	7.95	2025-11-12	9	8.18106
