obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	icon_dates	icon_temp_table_h	icon_temp_table	icon_station_names
642	2025-09-24	0	13.64	IOANNINA (AIRPORT)	2025-09-22	48	16.4338	IOANNINA (AIRPORT)
642	2025-09-26	0	17.14	IOANNINA (AIRPORT)	2025-09-24	48	17.8007	IOANNINA (AIRPORT)
642	2025-09-27	0	14.74	IOANNINA (AIRPORT)	2025-09-25	48	17.143	IOANNINA (AIRPORT)
642	2025-09-28	0	15.24	IOANNINA (AIRPORT)	2025-09-26	48	16.2057	IOANNINA (AIRPORT)
642	2025-09-29	0	13.24	IOANNINA (AIRPORT)	2025-09-27	48	14.2848	IOANNINA (AIRPORT)
642	2025-09-30	0	9.94	IOANNINA (AIRPORT)	2025-09-28	48	14.4218	IOANNINA (AIRPORT)
643	2025-09-03	0	21.94	AKTION (AIRPORT)	2025-09-01	48	25.4364	AKTION (AIRPORT)
643	2025-09-04	0	19.74	AKTION (AIRPORT)	2025-09-02	48	25.4882	AKTION (AIRPORT)
643	2025-09-05	0	20.64	AKTION (AIRPORT)	2025-09-03	48	23.955	AKTION (AIRPORT)
643	2025-09-06	0	21.64	AKTION (AIRPORT)	2025-09-04	48	25.4399	AKTION (AIRPORT)
643	2025-09-07	0	24.44	AKTION (AIRPORT)	2025-09-05	48	25.0995	AKTION (AIRPORT)
643	2025-09-08	0	20.44	AKTION (AIRPORT)	2025-09-06	48	25.4384	AKTION (AIRPORT)
643	2025-09-09	0	22.24	AKTION (AIRPORT)	2025-09-07	48	24.6527	AKTION (AIRPORT)
643	2025-09-11	0	20.94	AKTION (AIRPORT)	2025-09-09	48	23.3576	AKTION (AIRPORT)
643	2025-09-12	0	21.94	AKTION (AIRPORT)	2025-09-10	48	25.2724	AKTION (AIRPORT)
643	2025-09-13	0	20.24	AKTION (AIRPORT)	2025-09-11	48	22.3713	AKTION (AIRPORT)
643	2025-09-14	0	21.24	AKTION (AIRPORT)	2025-09-12	48	24.0392	AKTION (AIRPORT)
643	2025-09-15	0	21.24	AKTION (AIRPORT)	2025-09-13	48	24.9753	AKTION (AIRPORT)
643	2025-09-16	0	21.94	AKTION (AIRPORT)	2025-09-14	48	22.8913	AKTION (AIRPORT)
643	2025-09-17	0	23.24	AKTION (AIRPORT)	2025-09-15	48	25.0141	AKTION (AIRPORT)
643	2025-09-18	0	23.44	AKTION (AIRPORT)	2025-09-16	48	23.8656	AKTION (AIRPORT)
643	2025-09-19	0	19.74	AKTION (AIRPORT)	2025-09-17	48	24.0866	AKTION (AIRPORT)
643	2025-09-20	0	19.94	AKTION (AIRPORT)	2025-09-18	48	21.277	AKTION (AIRPORT)
643	2025-09-21	0	17.24	AKTION (AIRPORT)	2025-09-19	48	23.6481	AKTION (AIRPORT)
643	2025-09-22	0	21.24	AKTION (AIRPORT)	2025-09-20	48	22.0126	AKTION (AIRPORT)
643	2025-09-23	0	17.94	AKTION (AIRPORT)	2025-09-21	48	23.756	AKTION (AIRPORT)
643	2025-09-24	0	18.24	AKTION (AIRPORT)	2025-09-22	48	21.3595	AKTION (AIRPORT)
643	2025-09-26	0	20.44	AKTION (AIRPORT)	2025-09-24	48	22.3124	AKTION (AIRPORT)
643	2025-09-27	0	23.74	AKTION (AIRPORT)	2025-09-25	48	22.7641	AKTION (AIRPORT)
643	2025-09-28	0	22.24	AKTION (AIRPORT)	2025-09-26	48	21.1012	AKTION (AIRPORT)
643	2025-09-29	0	16.94	AKTION (AIRPORT)	2025-09-27	48	19.7145	AKTION (AIRPORT)
643	2025-09-30	0	16.74	AKTION (AIRPORT)	2025-09-28	48	20.8407	AKTION (AIRPORT)
648	2025-09-03	0	18.94	LARISSA (AIRPORT)	2025-09-01	48	21.246	LARISSA (AIRPORT)
648	2025-09-04	0	21.44	LARISSA (AIRPORT)	2025-09-02	48	23.3339	LARISSA (AIRPORT)
648	2025-09-05	0	23.74	LARISSA (AIRPORT)	2025-09-03	48	22.1894	LARISSA (AIRPORT)
648	2025-09-06	0	19.44	LARISSA (AIRPORT)	2025-09-04	48	20.6918	LARISSA (AIRPORT)
648	2025-09-07	0	19.94	LARISSA (AIRPORT)	2025-09-05	48	20.3905	LARISSA (AIRPORT)
648	2025-09-08	0	19.94	LARISSA (AIRPORT)	2025-09-06	48	19.5732	LARISSA (AIRPORT)
648	2025-09-09	0	19.24	LARISSA (AIRPORT)	2025-09-07	48	19.8529	LARISSA (AIRPORT)
648	2025-09-10	0	20.24	LARISSA (AIRPORT)	2025-09-08	48	21.2729	LARISSA (AIRPORT)
648	2025-09-11	0	19.74	LARISSA (AIRPORT)	2025-09-09	48	22.2521	LARISSA (AIRPORT)
648	2025-09-12	0	20.44	LARISSA (AIRPORT)	2025-09-10	48	21.5644	LARISSA (AIRPORT)
648	2025-09-13	0	19.64	LARISSA (AIRPORT)	2025-09-11	48	22.2355	LARISSA (AIRPORT)
648	2025-09-14	0	19.64	LARISSA (AIRPORT)	2025-09-12	48	21.0588	LARISSA (AIRPORT)
648	2025-09-15	0	20.64	LARISSA (AIRPORT)	2025-09-13	48	20.7067	LARISSA (AIRPORT)
648	2025-09-17	0	19.64	LARISSA (AIRPORT)	2025-09-15	48	20.2934	LARISSA (AIRPORT)
648	2025-09-18	0	21.74	LARISSA (AIRPORT)	2025-09-16	48	23.0668	LARISSA (AIRPORT)
648	2025-09-19	0	14.94	LARISSA (AIRPORT)	2025-09-17	48	15.6462	LARISSA (AIRPORT)
648	2025-09-20	0	16.24	LARISSA (AIRPORT)	2025-09-18	48	15.8415	LARISSA (AIRPORT)
648	2025-09-21	0	13.94	LARISSA (AIRPORT)	2025-09-19	48	16.8942	LARISSA (AIRPORT)
648	2025-09-22	0	14.74	LARISSA (AIRPORT)	2025-09-20	48	17.5956	LARISSA (AIRPORT)
648	2025-09-23	0	13.74	LARISSA (AIRPORT)	2025-09-21	48	17.4767	LARISSA (AIRPORT)
648	2025-09-24	0	14.44	LARISSA (AIRPORT)	2025-09-22	48	18.1466	LARISSA (AIRPORT)
648	2025-09-26	0	18.94	LARISSA (AIRPORT)	2025-09-24	48	18.9091	LARISSA (AIRPORT)
648	2025-09-27	0	17.94	LARISSA (AIRPORT)	2025-09-25	48	19.559	LARISSA (AIRPORT)
648	2025-09-28	0	14.94	LARISSA (AIRPORT)	2025-09-26	48	17.068	LARISSA (AIRPORT)
648	2025-09-29	0	14.44	LARISSA (AIRPORT)	2025-09-27	48	15.4958	LARISSA (AIRPORT)
648	2025-09-30	0	15.74	LARISSA (AIRPORT)	2025-09-28	48	16.7773	LARISSA (AIRPORT)
650	2025-09-03	0	22.94	LIMNOS (AIRPORT)	2025-09-01	48	22.914	LIMNOS (AIRPORT)
650	2025-09-04	0	24.74	LIMNOS (AIRPORT)	2025-09-02	48	24.0087	LIMNOS (AIRPORT)
650	2025-09-05	0	24.44	LIMNOS (AIRPORT)	2025-09-03	48	23.4228	LIMNOS (AIRPORT)
650	2025-09-06	0	22.74	LIMNOS (AIRPORT)	2025-09-04	48	23.5824	LIMNOS (AIRPORT)
650	2025-09-07	0	18.74	LIMNOS (AIRPORT)	2025-09-05	48	22.1855	LIMNOS (AIRPORT)
